cutoff,variant,scope,bias_qty_delta,abs_bias_delta,mae_delta,underforecast_qty_delta,overforecast_qty_delta
2026-06-21,observed_total_conservative_profile,stockout_sku_days_observed_lower_bound,94.19715926447168,94.19715926447168,0.18886199060757392,-10.176060468455034,84.0210987960163
2026-06-21,observed_total_conservative_profile,stockout_sku_days_conservative_target,94.19715926447202,-94.19715926447202,0.17117235249780016,-13.634384718915953,80.56277454555561
2026-06-21,observed_total_conservative_profile,stockout_sku_days_full_point,94.19715926447134,-94.19715926447134,0.16690213444708135,-14.469212347831217,79.72794691664035
2026-06-21,conservative_total_conservative_profile,all_sku_days_observed_sales,839.4991425668018,839.4991425668018,0.010652925324565743,-291.6534707181636,547.8456718486414
2026-06-21,conservative_total_conservative_profile,all_sku_days_conservative_demand,839.4991425668017,-668.7703540051658,0.009843103364591599,-301.39117487585463,538.107967690943
2026-06-21,conservative_total_conservative_profile,all_sku_days_full_reconstructed_demand,839.4991425668013,-839.4991425668013,0.009627428556585826,-303.98455660472973,535.5145859620679
2026-06-21,conservative_total_conservative_profile,clean_sku_days_observed_sales,694.1253255702211,694.1253255702211,0.007017453096120896,-264.0532101110948,430.07211545913015
2026-06-21,conservative_total_conservative_profile,adjusted_pairs_clean_sku_days,704.3992749169547,-704.3992749169547,0.05814217932968724,-249.89847292789273,454.5008019890647
2026-06-21,conservative_total_conservative_profile,stockout_sku_days_observed_lower_bound,145.3738169965814,145.3738169965814,0.23062223985284902,-27.600260607058544,117.77355638952258
2026-06-21,conservative_total_conservative_profile,stockout_sku_days_conservative_target,145.37381699658135,-145.37381699658135,0.18081301142469997,-37.33796476476164,108.03585223181926
2026-06-21,conservative_total_conservative_profile,stockout_sku_days_full_point,145.3738169965809,-145.3738169965809,0.16754763173737253,-39.93134649363401,105.44247050294712
2026-06-21,conservative_total_guarded_profile,all_sku_days_observed_sales,839.499142566802,839.499142566802,0.003223181787451068,-380.99242188019707,458.5067206866006
2026-06-21,conservative_total_guarded_profile,all_sku_days_conservative_demand,839.4991425668015,-668.7703540051659,0.002589521243163695,-388.61187309496745,450.8872694718448
