variant,product_id,is_stockout_sku_day,sku_days,net_prediction_delta,positive_prediction_delta,product_name
conservative_total_conservative_profile,10215,False,20,0.15428795970120024,0.15428795970120024,Сметана
conservative_total_conservative_profile,11544,False,26,0.12143325852887663,0.1511080156138796,Латте 200 СК
conservative_total_conservative_profile,10541,False,26,0.14630172040193978,0.14961915064610531,Пицца Семейная
conservative_total_conservative_profile,10627,False,47,-0.04490525942266729,0.14864653012948573,Пицца Мясная П
conservative_total_conservative_profile,156,False,42,0.018609476079167298,0.14411132030683815,Горячий шоколад 220
conservative_total_conservative_profile,102,True,11,-0.3055878849455826,0.12461748794235028,Королевская ватрушка
conservative_total_conservative_profile,11550,False,114,0.04539682067977356,0.12420256115385285,Салат с тунцом весовой
conservative_total_conservative_profile,11306,False,49,0.02031991173862633,0.12390318798144521,Картофель беби
conservative_total_conservative_profile,10779,False,21,0.11917731046823843,0.12065759119253283,Бородино Упак
conservative_total_conservative_profile,11545,False,28,0.09263310588997997,0.11001176399733348,Латте 300 СК
conservative_total_conservative_profile,10512,False,61,0.06547715433028571,0.1080908308552976,Добрый Кола без сахара 500
conservative_total_conservative_profile,10507,False,77,0.052707195258236944,0.09736960185929774,Добрый Апельсин газ 330
conservative_total_conservative_profile,11551,False,38,0.04538340529113081,0.08813929063396707,Лазанья с мясом весовой
conservative_total_conservative_profile,1926,False,97,0.0775618707113187,0.08786778962629815,Pulpy Ананас Манго
conservative_total_conservative_profile,93,False,41,0.029046435508551682,0.08697743251174939,Сметанник ЗКЗ
conservative_total_conservative_profile,10970,False,25,-0.39313060764048446,0.08319328020577477,Хлеб Ржаной 100% УПАК
conservative_total_conservative_profile,10464,False,40,0.054805141378059155,0.07882508145600121,Майонез порц сеть
conservative_total_conservative_profile,10880,False,51,0.06205346396925937,0.07562678636410913,"Персик,Клубника Холодный чай"
conservative_total_conservative_profile,10526,False,89,0.031126440548312734,0.06604778323395907,Чай зел стандарт
conservative_total_conservative_profile,5259,False,42,0.06289474095437947,0.06289474095437947,Чай черн бергамот малый
conservative_total_conservative_profile,10343,False,27,0.05006131438737682,0.06157116064041601,Хлеб тостовый пшеничный
conservative_total_conservative_profile,10778,False,19,0.061303714024877665,0.061303714024877665,Тартин Упак
conservative_total_conservative_profile,78,False,41,0.03433852402766269,0.05970955913317899,Губадия ЗКЗ
conservative_total_conservative_profile,10625,False,31,0.01626177602363621,0.0589340809080825,Пицца Маргарита П
conservative_total_conservative_profile,94,False,10,0.01787217184602774,0.052409158255349864,Трехслойник ЗКЗ
conservative_total_conservative_profile,10702,False,42,0.04259876104566196,0.051441896538001464,Добрый Кола без сахара 300
conservative_total_conservative_profile,10715,False,50,0.028264868231883344,0.050251792891429226,"Юдзу-Клубника,Черника Холодный чай"
conservative_total_conservative_profile,11531,False,103,-0.7552502211420069,0.048356055495305916,Поке с креветкой
conservative_total_conservative_profile,202,False,60,0.029501244067346333,0.04724746867045493,Лапша 130
conservative_total_conservative_profile,10716,False,89,-0.40636836774196977,0.047033928844388395,"Юдзу-Клубника,Клубника Холодный чай"
conservative_total_conservative_profile,10605,False,25,-0.007658516539309268,0.04694654497146056,Чай черный Тропик малый
conservative_total_conservative_profile,11005,False,37,0.02422643597939189,0.046439172817606955,Трехслойник ЗКЗ Новый
conservative_total_conservative_profile,11522,False,27,-0.022997251434238697,0.04269721439735452,Паста с ветчиной и соусом бешамель вес сеть
conservative_total_conservative_profile,1998,False,16,0.025210121944455183,0.039896973467975744,я_не_исп Сахар стик
conservative_total_conservative_profile,3047,False,39,-0.00932584424828553,0.0385241346716827,Чак-чак шарики ассорти Т
conservative_total_conservative_profile,11498,False,29,0.0298163240472773,0.03332681805912252,"Добрый 0,33л ж/б Кола газ"
conservative_total_conservative_profile,203,False,80,0.027252258954473585,0.03174731633241279,Лапша 270
conservative_total_conservative_profile,10772,False,16,0.022949065153937506,0.030347108559303893,Ржано-пшеничный 900 Упак
conservative_total_conservative_profile,10542,False,27,-1.4565570685092757,0.028786803109749626,Пицца с колбасками ЧБ
conservative_total_conservative_profile,10072,False,61,0.012310192011004362,0.021661107789921363,Горячий шоколад 300
conservative_total_conservative_profile,10606,False,13,0.014139409771287248,0.01931871300614807,Чай черный Тропик стандарт
conservative_total_conservative_profile,10717,False,42,0.00864024483214132,0.018101347456141448,"Манго-Ананас,Черника Холодный чай"
conservative_total_conservative_profile,10430,False,89,-0.008112948706638222,0.017991395282679762,Окрошка вес
conservative_total_conservative_profile,1001,False,19,0.01368751102216098,0.017488623211734833,Коррекс мал
conservative_total_conservative_profile,11530,False,16,0.0048483149142285464,0.015766541378020887,Котлеты бургер вес
conservative_total_conservative_profile,11223,True,6,-0.558256855910082,0.014127450835691668,Пирог с черносливом и грец орехом
conservative_total_conservative_profile,4944,True,2,0.014011672757267168,0.014011672757267168,Пирожок капуста и курица
conservative_total_conservative_profile,11540,False,27,0.0035600855713591173,0.011166240599279842,Американо 200 СК
conservative_total_conservative_profile,209,False,53,0.0035412171131823933,0.011090887142442551,Чак-чак 450
conservative_total_conservative_profile,10771,False,11,0.00830149979688033,0.010420797841592055,Пшеничный Упак
conservative_total_conservative_profile,4826,False,43,-0.00022880092147226083,0.005097138094387166,Горячий шоколад 200
conservative_total_conservative_profile,76,False,1,0.0,0.0,Капуста и грибы пост ЗКЗ
conservative_total_conservative_profile,79,False,6,0.0,0.0,Зур бэлиш ЗКЗ
conservative_total_conservative_profile,80,False,9,0.0,0.0,Капустный ЗКЗ
conservative_total_conservative_profile,81,False,5,0.0,0.0,Капустный постный ЗКЗ
conservative_total_conservative_profile,82,False,3,0.0,0.0,Королевская ватрушка ЗКЗ
conservative_total_conservative_profile,83,False,3,0.0,0.0,Курник ЗКЗ
conservative_total_conservative_profile,87,False,7,0.0,0.0,Капуста и мясо ЗКЗ
conservative_total_conservative_profile,92,False,7,0.0,0.0,Свадебный каравай ЗКЗ
conservative_total_conservative_profile,95,False,10,0.0,0.0,Яблочный ЗКЗ
conservative_total_conservative_profile,96,False,4,0.0,0.0,Яблочный постный ЗКЗ
conservative_total_conservative_profile,112,False,2,0.0,0.0,Грибы и капуста пост
conservative_total_conservative_profile,207,False,43,0.0,0.0,Чак-чак 180
