cutoff,variant,scope,wape_delta,sku_day_wape_delta,under_delta,over_delta
cutoff_20260628,demand_adjusted_blend_0.75_guarded_routing,stable_routing_clean_sku_days,-0.0024982311862871143,-0.0017840591407923823,-109.03617603379826,-192.51856817615044
cutoff_20260628,demand_adjusted_blend_0.75_guarded_routing,new_exact_routing_clean_sku_days,,,0.0,0.0
cutoff_20260628,demand_adjusted_blend_0.75_guarded_routing,stable_tier1_membership_clean_sku_days,7.445684459828072e-05,-6.443855638671447e-05,-1.962338195866323,-8.613515375807765
cutoff_20260628,demand_adjusted_blend_0.75_guarded_routing,new_tier1_member_clean_sku_days,-0.0885943416951418,-0.11342460997627879,-239.71611124301307,-316.54732620542063
cutoff_20260705,demand_adjusted_profile,all_holdout,-0.0025258092695874534,-0.003131498647286235,-272.20686645976093,-272.20686645976093
cutoff_20260705,demand_adjusted_profile,clean_bakery_days,-0.00023297593589055587,0.0007990047963615243,9.960140506922471,9.96014050692429
cutoff_20260705,demand_adjusted_profile,clean_sku_days,-0.003728661982782988,-0.003816156838258866,-201.43086401004985,-439.3967387925659
cutoff_20260705,demand_adjusted_profile,adjusted_pairs_clean_sku_days,0.0045792908118906794,0.0015756195297806919,-303.2515317767484,386.0062207198898
cutoff_20260705,demand_adjusted_profile,stable_routing_clean_sku_days,-0.003909689662567439,-0.004189673433714902,-232.67386673539295,-470.63974151789444
cutoff_20260705,demand_adjusted_profile,new_exact_routing_clean_sku_days,0.5341265543013678,0.5341265543013678,15.089075159013653,15.089075159013653
cutoff_20260705,demand_adjusted_profile,stable_tier1_membership_clean_sku_days,7.255020838492499e-05,-3.968298341738841e-05,-3.100958068826003,-3.188923494744813
cutoff_20260705,demand_adjusted_profile,new_tier1_member_clean_sku_days,-0.0676778184419311,-0.06975898789899326,-209.6822784676815,-447.56018782427054
cutoff_20260705,demand_adjusted_guarded_routing,all_holdout,-0.002695851956554307,-0.0034872961288543447,-303.1347155379772,-303.1347155379917
cutoff_20260705,demand_adjusted_guarded_routing,clean_bakery_days,-0.0014187139081265343,-0.0016820344758733397,-20.96770857130832,-20.967708571304684
cutoff_20260705,demand_adjusted_guarded_routing,clean_sku_days,-0.0039047054070020515,-0.004184510268218089,-232.35871308828064,-470.3245878707821
cutoff_20260705,demand_adjusted_guarded_routing,adjusted_pairs_clean_sku_days,0.0036076955099171304,0.0006935434455193068,-305.05532667175976,341.4816155173212
cutoff_20260705,demand_adjusted_guarded_routing,stable_routing_clean_sku_days,-0.003909689662567439,-0.004189673433714902,-232.67386673539295,-470.63974151789444
cutoff_20260705,demand_adjusted_guarded_routing,new_exact_routing_clean_sku_days,0.010904123046357128,0.010904123046357128,0.30804147605959287,0.30804147605959287
cutoff_20260705,demand_adjusted_guarded_routing,stable_tier1_membership_clean_sku_days,7.255020838492499e-05,-3.968298341738841e-05,-3.100958068826003,-3.188923494744813
cutoff_20260705,demand_adjusted_guarded_routing,new_tier1_member_clean_sku_days,-0.07081550355117616,-0.0728966730082381,-224.46331215063674,-462.34122150722396
cutoff_20260705,demand_adjusted_blend_0.25_guarded_routing,all_holdout,-0.0026176112046369937,-0.003568924631700554,-310.2303082481376,-310.2303082481376
