date,bakery_id,bakery_name,product_id,product_name,category_name,dow,hourly_sold,daily_sold,qty_produced,stock_balance,is_inventory_stockout,is_reliable_inventory_stockout,balance_consistent,hourly_daily_sales_agree,last_sale_hour,normal_days,normal_daily_sold,normal_last_hour,bakery_sales_after_last,last_hour_gap,is_strong_temporal_stockout,stockout_group,forecast_qty,source_run_id,latest_generated_at,has_forecast,bias_qty,forecast_to_sales_ratio,bias_pct_of_sales,responsibility_group,confirmed_model_shortfall_qty,bakery_execution_gap_qty,forecast_headroom_over_observed_qty,production_to_forecast_ratio,bakery_actual_qty,bakery_forecast_qty,sku_forecast_total_qty,bakery_forecast_to_actual,bakery_volume_sufficient,observed_sku_share,forecast_sku_share,allocation_share_ratio,diagnosis,pipeline_regime,actual_bakery,expected_actual_bakery,sigma_actual_bakery,reference_days_actual_bakery,actual_sku,expected_sold,sigma_sold,reference_days_sold,bakery_sigma,bakery_gap,bakery_ratio,bakery_gap_z,sku_gap_estimate,substitution_qty,substitution_ratio,substitution_ratio_capped,case_type,case_confidence,robust_case_type,review_order
2026-07-18,257,Ярмарочная 12 Чебоксары,11251,ЖарПицца с салями,Фастфуд,5,12.0,12.0,12.0,0.0,True,True,True,True,17.0,3.0,5.0,19.0,133.39,2.0,True,clear_stockout,0.0,,,False,-12.0,0.0,-100.0,confirmed_model_underforecast,12.0,0.0,-12.0,,680.6480000000004,741.0924926130353,778.8572305553536,1.0888043344181353,True,0.0176302582245154,0.0,0.0,missing_or_near_zero_sku,current_cap_haircut_stockout,680.648,645.521,34.97229100540405,6,12.0,6.5,2.7325202042558927,6,34.97229100540405,0.0,1.054416510074808,0.0,12.0,29.627000000000066,2.468916666666672,1.0,allocation,1.0,allocation,
2026-06-03,257,Ярмарочная 12 Чебоксары,10485,ЖарПицца Пикантная,Фастфуд,2,11.0,11.0,12.0,1.0,True,True,True,True,18.0,3.0,28.0,20.0,123.882,2.0,True,clear_stockout,0.0,,,False,-11.0,0.0,-100.0,confirmed_model_underforecast,11.0,0.0,-11.0,,735.3870000000003,726.6125563083729,726.6125563083726,0.988068263796304,True,0.0149581104914827,0.0,0.0,missing_or_near_zero_sku,base_no_sku_uplift,735.3870000000001,683.892,84.20620500642059,4,11.0,18.0,5.41602560309064,4,84.20620500642059,0.0,1.0752969767156217,0.0,11.0,58.495000000000005,5.317727272727273,1.0,allocation,1.0,allocation,
2026-06-22,16,Кулагина 4 Казань,36,Вак-бэлиш,Выпечка сытная,0,80.0,80.0,80.0,0.0,True,True,True,True,18.0,3.0,65.0,20.0,117.627,2.0,True,clear_stockout,69.44495779070897,backfill_base_bakery_no_sku_uplift_20260622_h1,2026-07-01 16:17:03.559000+03:00,True,-10.555042209291033,0.8680619723838621,-13.19380276161379,confirmed_model_underforecast,10.555042209291033,0.0,-10.555042209291033,1.151991484264437,2340.2849999999994,2244.705854805959,2244.7058548059595,0.9591591856572852,True,0.0341838707678765,0.0309372195212241,0.9050238848403492,allocation_failure_likely,base_no_sku_uplift,2340.285,2163.0055,250.43318777410474,6,80.0,62.0,4.732863826479693,6,250.43318777410474,0.0,1.0819598008419302,0.0,10.555042209291033,159.27949999999964,15.090370729147299,1.0,allocation,1.0,allocation,
2026-07-14,28,Гудованцева 27 Казань,1076,Треугольник говядина безд,Выпечка сытная,1,87.0,87.0,87.0,0.0,True,True,True,True,14.0,4.0,56.0,20.0,465.5,6.0,True,clear_stockout,76.4648994934141,backfill_base_bakery_raw_uplift_sku_rollingbias_20260714_h1,2026-07-16 17:56:02.797000+03:00,True,-10.535100506585906,0.8789068907288976,-12.109310927110236,confirmed_model_underforecast,10.535100506585906,0.0,-10.535100506585906,1.1377769483303026,1693.5,1581.9083761725612,1581.9083761725612,0.9341059203853328,False,0.0513728963684676,0.0483371228354081,0.9409070979513064,mixed_or_top_level,raw_uplift_pre_cap_haircut,1693.5,1538.75,103.16746903295953,6,87.0,70.0,20.614719660152225,6,103.16746903295953,0.0,1.1005686433793664,0.0,10.535100506585906,137.75,13.075338001178732,1.0,allocation,1.0,allocation,
2026-06-21,257,Ярмарочная 12 Чебоксары,4944,Пирожок капуста и курица,Выпечка сытная,6,10.0,10.0,10.0,0.0,True,True,True,True,18.0,3.0,16.0,20.0,79.505,2.0,True,clear_stockout,0.0,,,False,-10.0,0.0,-100.0,confirmed_model_underforecast,10.0,0.0,-10.0,,609.643,589.4260989867859,589.4260989867857,0.9668381314749548,True,0.016403042436311,0.0,0.0,missing_or_near_zero_sku,base_no_sku_uplift,609.643,562.8565000000001,49.05499638874717,6,10.0,10.5,2.316606713852541,6,49.05499638874717,0.0,1.0831233182880537,0.0,10.0,47.28649999999993,4.728649999999993,1.0,allocation,1.0,allocation,
2026-06-20,20,Мира 45 Дербышки Казань,34,Беккен капуста,Выпечка сытная,5,30.0,30.0,30.0,0.0,True,True,True,True,15.0,5.0,16.0,18.0,98.5,3.0,True,clear_stockout,20.09900238037113,backfill_base_bakery_no_sku_uplift_20260620_h1,2026-07-01 16:12:33.991000+03:00,True,-9.900997619628871,0.6699667460123709,-33.003325398762904,confirmed_model_underforecast,9.900997619628871,0.0,-9.900997619628871,1.4926113959416352,548.5,540.1527423144262,540.152742314426,0.9847816632897468,True,0.0546946216955332,0.0372098497440773,0.6803200861542145,allocation_failure_likely,base_no_sku_uplift,548.5,510.25,89.1025626268216,6,30.0,10.5,4.5934736311423405,6,89.1025626268216,0.0,1.0749632533072024,0.0,9.900997619628871,18.75,1.893748561541703,1.0,allocation,1.0,allocation,
2026-06-04,22,Сибирский Тракт 25 Казань,10909,Корзинка ягодная,Выпечка сладкая,3,26.0,25.0,25.0,0.0,True,True,True,True,16.0,4.0,13.0,19.0,272.666,3.0,True,clear_stockout,15.46700523134851,backfill_base_bakery_no_sku_uplift_20260604_h1,2026-07-01 15:42:52.844000+03:00,True,-9.53299476865149,0.6186802092539404,-38.13197907460596,confirmed_model_underforecast,9.53299476865149,0.0,-9.53299476865149,1.6163439286443135,1782.571,1707.2757910058306,1707.275791005831,0.9577603310083193,True,0.0140246868147187,0.0090594649750385,0.6459655816007756,allocation_failure_likely,base_no_sku_uplift,1782.571,1676.37,57.61821828423717,4,26.0,15.5,1.707825127659933,4,83.8185,0.0,1.0633517660182419,0.0,9.53299476865149,96.70100000000002,10.143821783894577,1.0,allocation,1.0,allocation,
2026-07-03,22,Сибирский Тракт 25 Казань,58,Сочень,Выпечка сладкая,4,44.0,44.0,43.0,-1.0,True,True,True,True,17.0,6.0,29.0,19.0,142.335,2.0,True,clear_stockout,34.55566736097012,backfill_base_bakery_raw_uplift_sku_rollingbias_20260703_h1,2026-07-16 16:48:37.987000+03:00,True,-9.44433263902988,0.7853560763856845,-21.464392361431543,confirmed_model_underforecast,9.44433263902988,0.0,-9.44433263902988,1.2443689641649802,1765.4650000000013,1616.0549692033128,1614.2508153012925,0.9153707205769084,False,0.0249226124562084,0.0214066284083124,0.8589239368836659,mixed_or_top_level,raw_uplift_pre_cap_haircut,1765.465,1646.3265000000001,289.5566527934848,6,44.0,30.5,17.212398631993935,6,289.5566527934848,0.0,1.0723662651363504,0.0,9.44433263902988,105.6384999999998,11.18538535623317,1.0,allocation,1.0,allocation,
2026-07-15,222,Габдуллы Тукая 62А Казань,1844,Киш курица,Выпечка сытная,2,20.0,20.0,20.0,0.0,True,True,True,True,16.0,3.0,9.0,18.0,139.48,2.0,True,clear_stockout,11.697532907115567,backfill_base_bakery_raw_uplift_sku_rollingbias_20260715_h1,2026-07-16 18:01:51.368000+03:00,True,-8.302467092884433,0.5848766453557783,-41.512335464422165,confirmed_model_underforecast,8.302467092884433,0.0,-8.302467092884433,1.7097622343797017,966.175,851.6633503743697,851.6633503743697,0.8814793907670657,False,0.0207001837141304,0.0137349257802083,0.6635170957846412,mixed_or_top_level,current_cap_haircut_stockout,966.175,902.601,85.55692708464153,6,20.0,10.0,1.0327955589886446,6,85.55692708464153,0.0,1.0704342228736727,0.0,8.302467092884433,53.573999999999955,6.452780769937065,1.0,allocation,1.0,allocation,
2026-06-29,221,Салиха Батыева 15 Казань,1844,Киш курица,Выпечка сытная,0,16.0,16.0,16.0,0.0,True,True,True,True,14.0,6.0,4.5,18.5,317.513,4.5,True,clear_stockout,8.605004315726422,backfill_base_bakery_no_sku_uplift_20260629_h1,2026-07-01 16:48:00.669000+03:00,True,-7.394995684273578,0.5378127697329014,-46.21872302670986,confirmed_model_underforecast,7.394995684273578,0.0,-7.394995684273578,1.8593831464742625,778.254,746.480482493929,746.4804824939292,0.9591733322204948,True,0.0205588406869736,0.0115274337608638,0.5607044646329562,allocation_failure_likely,base_no_sku_uplift,778.254,776.342,47.598287782930456,6,16.0,7.0,6.408327915038888,6,47.598287782930456,0.0,1.0024628321023468,0.0,7.394995684273578,0.0,0.0,0.0,allocation,1.0,allocation,
